Car Name,Manufacturer,Launch Year,Description,Engine Specifications,Other Specifications,User Ratings,NCAP Global Rating
Wood-Page,WithinLast63,2024,"The Wood-Page by WithinLast63 is a sleek and sleek convertible. It features intuitive user interface and exceptional handling that deliver an exhilarating driving experience. Released in 2024, it embodies the future of automotive design.","V6, 451 HP, 1802cc","Convertible, 6 km/l, 230 km/h top speed",2,4
GovernmentMeasure30,Wood-Page,2017,"The GovernmentMeasure30 by Wood-Page is a innovative and robust SUV. It features state-of-the-art infotainment system and remarkable fuel efficiency that deliver an exhilarating driving experience. Released in 2017, it embodies the future of automotive design.","V6, 476 HP, 3497cc","SUV, 14 km/l, 222 km/h top speed",3.1,4
FallProduce98,Wood-Page,2009,"Wood-Page presents the FallProduce98, a state-of-the-art masterpiece that redefines modern mobility. With features such as remarkable fuel efficiency and intuitive user interface, this sports car combines efficiency with bold performance. Since its inception in 2009, it has captivated enthusiasts and experts alike.","Electric, 381 HP, 3468cc","Hatchback, 15 km/l, 235 km/h top speed",3.2,3
Wood-Page,CanCause33,2021,"CanCause33 presents the Wood-Page, a efficient masterpiece that redefines modern mobility. With features such as intuitive user interface and next-generation navigation system, this minivan combines efficiency with bold performance. Since its inception in 2021, it has captivated enthusiasts and experts alike.","V6, 485 HP, 4982cc","Hatchback, 12 km/l, 171 km/h top speed",3.6,4
OrderSome59,Wood-Page,2009,"The OrderSome59 by Wood-Page is a powerful and dynamic roadster. It features eco-friendly technology and exceptional handling that deliver an exhilarating driving experience. Released in 2009, it embodies the future of automotive design.","V6, 376 HP, 1524cc","Sedan, 6 km/l, 110 km/h top speed",3.5,3
Wood-Page,FourLetter63,2019,"Experience the fusion of style and performance with the Wood-Page from FourLetter63. This efficient roadster boasts state-of-the-art infotainment system along with advanced safety features. Its innovative design and reliable engineering, launched in 2019, set a new benchmark in its class.","I6, 369 HP, 2484cc","Hatchback, 5 km/l, 178 km/h top speed",4.7,1
GrowSeem36,Wood-Page,2001,"The GrowSeem36 by Wood-Page is a powerful and sleek limousine. It features unmatched reliability and exceptional handling that deliver an exhilarating driving experience. Released in 2001, it embodies the future of automotive design.","V6, 521 HP, 3563cc","SUV, 15 km/l, 232 km/h top speed",3.5,4
AmericanWith93,Wood-Page,2022,"Experience the fusion of style and performance with the AmericanWith93 from Wood-Page. This dynamic roadster boasts next-generation navigation system along with high-performance engine. Its innovative design and reliable engineering, launched in 2022, set a new benchmark in its class.","I4, 279 HP, 4102cc","Sedan, 6 km/l, 145 km/h top speed",3.7,5
AffectThey13,Wood-Page,2006,"Wood-Page presents the AffectThey13, a robust masterpiece that redefines modern mobility. With features such as integrated smart connectivity and state-of-the-art infotainment system, this hatchback combines efficiency with bold performance. Since its inception in 2006, it has captivated enthusiasts and experts alike.","V6, 541 HP, 4092cc","Coupe, 7 km/l, 194 km/h top speed",4.6,2
OverEither37,Wood-Page,2016,"The OverEither37 by Wood-Page is a innovative and cutting-edge convertible. It features unmatched reliability and high-performance engine that deliver an exhilarating driving experience. Released in 2016, it embodies the future of automotive design.","V8, 258 HP, 4853cc","Convertible, 5 km/l, 229 km/h top speed",2.2,5
SurfaceAuthor24,Wood-Page,2022,"The SurfaceAuthor24 by Wood-Page is a vibrant and sleek hatchback. It features remarkable fuel efficiency and state-of-the-art infotainment system that deliver an exhilarating driving experience. Released in 2022, it embodies the future of automotive design.","I6, 302 HP, 3764cc","Sedan, 10 km/l, 183 km/h top speed",1,2
Wood-Page,ToughOnly70,1996,"The Wood-Page by ToughOnly70 is a state-of-the-art and state-of-the-art convertible. It features exceptional handling and state-of-the-art infotainment system that deliver an exhilarating driving experience. Released in 1996, it embodies the future of automotive design.","V8, 494 HP, 1907cc","Hatchback, 10 km/l, 144 km/h top speed",1,3
Wood-Page,BreakBag96,2024,"The Wood-Page by BreakBag96 is a state-of-the-art and futuristic limousine. It features advanced safety features and eco-friendly technology that deliver an exhilarating driving experience. Released in 2024, it embodies the future of automotive design.","V6, 411 HP, 4766cc","Convertible, 6 km/l, 219 km/h top speed",3.7,5
CourseDetermine58,Wood-Page,2022,"Experience the fusion of style and performance with the CourseDetermine58 from Wood-Page. This cutting-edge hatchback boasts intuitive user interface along with state-of-the-art infotainment system. Its innovative design and reliable engineering, launched in 2022, set a new benchmark in its class.","I6, 336 HP, 4258cc","Coupe, 10 km/l, 184 km/h top speed",2.3,1
Wood-Page,FilmGuy91,2001,"FilmGuy91 presents the Wood-Page, a efficient masterpiece that redefines modern mobility. With features such as intuitive user interface and integrated smart connectivity, this sports car combines efficiency with bold performance. Since its inception in 2001, it has captivated enthusiasts and experts alike.","I4, 146 HP, 3125cc","Convertible, 6 km/l, 221 km/h top speed",1.3,3
AdministrationPolitical70,Wood-Page,2017,"The AdministrationPolitical70 by Wood-Page is a luxurious and sleek limousine. It features exceptional handling and eco-friendly technology that deliver an exhilarating driving experience. Released in 2017, it embodies the future of automotive design.","Electric, 560 HP, 4704cc","Convertible, 10 km/l, 119 km/h top speed",3.7,1
CatchSupport59,Wood-Page,2011,"Experience the fusion of style and performance with the CatchSupport59 from Wood-Page. This elegant convertible boasts high-performance engine along with exceptional handling. Its innovative design and reliable engineering, launched in 2011, set a new benchmark in its class.","I4, 539 HP, 2472cc","Hatchback, 5 km/l, 150 km/h top speed",3.7,4
BoyDegree25,Wood-Page,2008,"Wood-Page presents the BoyDegree25, a robust masterpiece that redefines modern mobility. With features such as remarkable fuel efficiency and exceptional handling, this convertible combines efficiency with bold performance. Since its inception in 2008, it has captivated enthusiasts and experts alike.","I4, 482 HP, 1315cc","Hatchback, 8 km/l, 224 km/h top speed",1.8,2
EverybodyChair56,Cooley LLC,2005,"The EverybodyChair56 by Cooley LLC is a robust and efficient convertible. It features unmatched reliability and intuitive user interface that deliver an exhilarating driving experience. Released in 2005, it embodies the future of automotive design.","Electric, 261 HP, 1857cc","SUV, 6 km/l, 212 km/h top speed",2.7,4
BlueIts60,Cooley LLC,2023,"The BlueIts60 by Cooley LLC is a efficient and dynamic convertible. It features next-generation navigation system and eco-friendly technology that deliver an exhilarating driving experience. Released in 2023, it embodies the future of automotive design.","V8, 480 HP, 4524cc","Sedan, 10 km/l, 214 km/h top speed",1.2,2
Cooley LLC,LeaveThought78,2010,"LeaveThought78 presents the Cooley LLC, a dynamic masterpiece that redefines modern mobility. With features such as integrated smart connectivity and remarkable fuel efficiency, this roadster combines efficiency with bold performance. Since its inception in 2010, it has captivated enthusiasts and experts alike.","I6, 177 HP, 2904cc","Convertible, 12 km/l, 152 km/h top speed",4.3,2
Cooley LLC,SitCommercial20,2011,"Experience the fusion of style and performance with the Cooley LLC from SitCommercial20. This sleek roadster boasts remarkable fuel efficiency along with intuitive user interface. Its innovative design and reliable engineering, launched in 2011, set a new benchmark in its class.","V6, 170 HP, 3193cc","Coupe, 13 km/l, 157 km/h top speed",1.5,1
Cooley LLC,OurSay11,1999,"The Cooley LLC by OurSay11 is a cutting-edge and elegant hatchback. It features exceptional handling and eco-friendly technology that deliver an exhilarating driving experience. Released in 1999, it embodies the future of automotive design.","V6, 112 HP, 2742cc","Convertible, 9 km/l, 240 km/h top speed",3.9,4
CustomerCost20,Cooley LLC,2022,"Cooley LLC presents the CustomerCost20, a dynamic masterpiece that redefines modern mobility. With features such as high-performance engine and integrated smart connectivity, this roadster combines efficiency with bold performance. Since its inception in 2022, it has captivated enthusiasts and experts alike.","V8, 590 HP, 3650cc","Sedan, 11 km/l, 152 km/h top speed",1.8,5
Cooley LLC,PoliticsDrug96,2020,"The Cooley LLC by PoliticsDrug96 is a cutting-edge and state-of-the-art minivan. It features exceptional handling and integrated smart connectivity that deliver an exhilarating driving experience. Released in 2020, it embodies the future of automotive design.","V6, 420 HP, 1714cc","Coupe, 15 km/l, 165 km/h top speed",1.9,1
OrganizationBudget19,Cooley LLC,2024,"The OrganizationBudget19 by Cooley LLC is a vibrant and cutting-edge hatchback. It features state-of-the-art infotainment system and state-of-the-art infotainment system that deliver an exhilarating driving experience. Released in 2024, it embodies the future of automotive design.","V6, 356 HP, 1477cc","Convertible, 7 km/l, 250 km/h top speed",4.5,3
Cooley LLC,PeopleBad99,2007,"Experience the fusion of style and performance with the Cooley LLC from PeopleBad99. This vibrant convertible boasts eco-friendly technology along with remarkable fuel efficiency. Its innovative design and reliable engineering, launched in 2007, set a new benchmark in its class.","I4, 542 HP, 3203cc","Coupe, 11 km/l, 235 km/h top speed",3.7,3
Cooley LLC,DownFill77,2010,"Experience the fusion of style and performance with the Cooley LLC from DownFill77. This luxurious roadster boasts intuitive user interface along with remarkable fuel efficiency. Its innovative design and reliable engineering, launched in 2010, set a new benchmark in its class.","V8, 479 HP, 2987cc","SUV, 5 km/l, 189 km/h top speed",2.6,5
Cooley LLC,BaseEnd68,2004,"Experience the fusion of style and performance with the Cooley LLC from BaseEnd68. This vibrant sports car boasts eco-friendly technology along with eco-friendly technology. Its innovative design and reliable engineering, launched in 2004, set a new benchmark in its class.","I6, 521 HP, 3050cc","Convertible, 9 km/l, 247 km/h top speed",3.7,1
Cooley LLC,PreventDifferent59,2022,"PreventDifferent59 presents the Cooley LLC, a luxurious masterpiece that redefines modern mobility. With features such as unmatched reliability and high-performance engine, this sports car combines efficiency with bold performance. Since its inception in 2022, it has captivated enthusiasts and experts alike.","I4, 290 HP, 3109cc","Sedan, 13 km/l, 150 km/h top speed",3.4,2
ForwardLeast39,Cooley LLC,2004,"The ForwardLeast39 by Cooley LLC is a state-of-the-art and robust limousine. It features high-performance engine and intuitive user interface that deliver an exhilarating driving experience. Released in 2004, it embodies the future of automotive design.","I4, 484 HP, 1886cc","Sedan, 8 km/l, 181 km/h top speed",3,5
TripIndividual77,Cooley LLC,2011,"Cooley LLC presents the TripIndividual77, a cutting-edge masterpiece that redefines modern mobility. With features such as state-of-the-art infotainment system and integrated smart connectivity, this coupe combines efficiency with bold performance. Since its inception in 2011, it has captivated enthusiasts and experts alike.","V8, 588 HP, 1696cc","SUV, 10 km/l, 156 km/h top speed",4.1,2
Cooley LLC,MouthReal30,2024,"MouthReal30 presents the Cooley LLC, a efficient masterpiece that redefines modern mobility. With features such as intuitive user interface and eco-friendly technology, this coupe combines efficiency with bold performance. Since its inception in 2024, it has captivated enthusiasts and experts alike.","I4, 314 HP, 3294cc","Convertible, 15 km/l, 208 km/h top speed",4.1,3
ApplyDespite57,Cooley LLC,2001,"The ApplyDespite57 by Cooley LLC is a dynamic and state-of-the-art coupe. It features unmatched reliability and eco-friendly technology that deliver an exhilarating driving experience. Released in 2001, it embodies the future of automotive design.","I6, 554 HP, 4806cc","SUV, 6 km/l, 195 km/h top speed",1.1,3
IncludingComputer76,Cooley LLC,2018,"Experience the fusion of style and performance with the IncludingComputer76 from Cooley LLC. This luxurious sedan boasts advanced safety features along with next-generation navigation system. Its innovative design and reliable engineering, launched in 2018, set a new benchmark in its class.","V6, 226 HP, 1288cc","SUV, 15 km/l, 229 km/h top speed",3.1,3
EasyPm95,Cooley LLC,2011,"The EasyPm95 by Cooley LLC is a vibrant and elegant roadster. It features unmatched reliability and state-of-the-art infotainment system that deliver an exhilarating driving experience. Released in 2011, it embodies the future of automotive design.","Electric, 117 HP, 4520cc","Convertible, 13 km/l, 140 km/h top speed",1.6,4
Cooley LLC,GoalEvening85,2006,"GoalEvening85 presents the Cooley LLC, a sleek masterpiece that redefines modern mobility. With features such as eco-friendly technology and high-performance engine, this roadster combines efficiency with bold performance. Since its inception in 2006, it has captivated enthusiasts and experts alike.","I6, 167 HP, 2518cc","Hatchback, 11 km/l, 208 km/h top speed",3.5,3
TheseTraditional51,Cooley LLC,2001,"The TheseTraditional51 by Cooley LLC is a robust and vibrant sedan. It features high-performance engine and high-performance engine that deliver an exhilarating driving experience. Released in 2001, it embodies the future of automotive design.","I6, 105 HP, 4137cc","Hatchback, 11 km/l, 194 km/h top speed",2.1,5
LowBeyond20,Nicholson-Adams,2016,"Nicholson-Adams presents the LowBeyond20, a agile masterpiece that redefines modern mobility. With features such as state-of-the-art infotainment system and integrated smart connectivity, this SUV combines efficiency with bold performance. Since its inception in 2016, it has captivated enthusiasts and experts alike.","V6, 598 HP, 4495cc","Convertible, 13 km/l, 242 km/h top speed",2.3,3
Nicholson-Adams,ReasonPiece66,2023,"The Nicholson-Adams by ReasonPiece66 is a robust and futuristic hatchback. It features advanced safety features and state-of-the-art infotainment system that deliver an exhilarating driving experience. Released in 2023, it embodies the future of automotive design.","I4, 572 HP, 3652cc","Convertible, 13 km/l, 171 km/h top speed",3.3,4
PossibleInterview49,Nicholson-Adams,2025,"Experience the fusion of style and performance with the PossibleInterview49 from Nicholson-Adams. This elegant convertible boasts unmatched reliability along with advanced safety features. Its innovative design and reliable engineering, launched in 2025, set a new benchmark in its class.","Electric, 577 HP, 1831cc","Sedan, 9 km/l, 156 km/h top speed",4.4,1
SoonTelevision40,Nicholson-Adams,1997,"The SoonTelevision40 by Nicholson-Adams is a elegant and vibrant sports car. It features intuitive user interface and high-performance engine that deliver an exhilarating driving experience. Released in 1997, it embodies the future of automotive design.","Electric, 586 HP, 3201cc","Coupe, 8 km/l, 219 km/h top speed",3.9,3
OperationDemocratic16,Nicholson-Adams,1999,"Nicholson-Adams presents the OperationDemocratic16, a cutting-edge masterpiece that redefines modern mobility. With features such as intuitive user interface and state-of-the-art infotainment system, this coupe combines efficiency with bold performance. Since its inception in 1999, it has captivated enthusiasts and experts alike.","Electric, 377 HP, 2184cc","Coupe, 7 km/l, 117 km/h top speed",2.8,5
ClearlyHold49,Nicholson-Adams,2004,"Nicholson-Adams presents the ClearlyHold49, a state-of-the-art masterpiece that redefines modern mobility. With features such as eco-friendly technology and unmatched reliability, this roadster combines efficiency with bold performance. Since its inception in 2004, it has captivated enthusiasts and experts alike.","V8, 517 HP, 3718cc","Convertible, 15 km/l, 222 km/h top speed",3.6,1
TenDrop15,Nicholson-Adams,2019,"Nicholson-Adams presents the TenDrop15, a agile masterpiece that redefines modern mobility. With features such as exceptional handling and state-of-the-art infotainment system, this roadster combines efficiency with bold performance. Since its inception in 2019, it has captivated enthusiasts and experts alike.","V6, 540 HP, 3289cc","Sedan, 13 km/l, 217 km/h top speed",4.7,4
SubjectResearch79,Nicholson-Adams,1998,"The SubjectResearch79 by Nicholson-Adams is a cutting-edge and efficient SUV. It features state-of-the-art infotainment system and eco-friendly technology that deliver an exhilarating driving experience. Released in 1998, it embodies the future of automotive design.","I6, 599 HP, 1595cc","Hatchback, 9 km/l, 126 km/h top speed",3.8,4
ManyHappy76,Nicholson-Adams,1997,"Nicholson-Adams presents the ManyHappy76, a futuristic masterpiece that redefines modern mobility. With features such as next-generation navigation system and intuitive user interface, this sedan combines efficiency with bold performance. Since its inception in 1997, it has captivated enthusiasts and experts alike.","I6, 467 HP, 1992cc","Coupe, 13 km/l, 148 km/h top speed",4.1,5
Nicholson-Adams,ActuallyHis90,2018,"The Nicholson-Adams by ActuallyHis90 is a powerful and agile convertible. It features intuitive user interface and integrated smart connectivity that deliver an exhilarating driving experience. Released in 2018, it embodies the future of automotive design.","V6, 319 HP, 1371cc","Hatchback, 9 km/l, 133 km/h top speed",4.8,1
Nicholson-Adams,TableGirl94,1998,"Experience the fusion of style and performance with the Nicholson-Adams from TableGirl94. This elegant limousine boasts next-generation navigation system along with eco-friendly technology. Its innovative design and reliable engineering, launched in 1998, set a new benchmark in its class.","I4, 193 HP, 2235cc","Sedan, 10 km/l, 215 km/h top speed",1.8,5
ControlAvailable99,Nicholson-Adams,2022,"Nicholson-Adams presents the ControlAvailable99, a elegant masterpiece that redefines modern mobility. With features such as high-performance engine and exceptional handling, this SUV combines efficiency with bold performance. Since its inception in 2022, it has captivated enthusiasts and experts alike.","Electric, 332 HP, 4545cc","Sedan, 11 km/l, 171 km/h top speed",2.1,5
Nicholson-Adams,MachinePlace32,1997,"The Nicholson-Adams by MachinePlace32 is a powerful and agile sedan. It features integrated smart connectivity and advanced safety features that deliver an exhilarating driving experience. Released in 1997, it embodies the future of automotive design.","V8, 515 HP, 4746cc","Convertible, 6 km/l, 207 km/h top speed",4.8,5
BeforeBag22,Nicholson-Adams,2022,"Experience the fusion of style and performance with the BeforeBag22 from Nicholson-Adams. This dynamic SUV boasts high-performance engine along with next-generation navigation system. Its innovative design and reliable engineering, launched in 2022, set a new benchmark in its class.","I4, 481 HP, 3179cc","Sedan, 10 km/l, 121 km/h top speed",3.8,3
Nicholson-Adams,HereClose60,2017,"HereClose60 presents the Nicholson-Adams, a luxurious masterpiece that redefines modern mobility. With features such as eco-friendly technology and intuitive user interface, this sedan combines efficiency with bold performance. Since its inception in 2017, it has captivated enthusiasts and experts alike.","I4, 198 HP, 2086cc","Convertible, 12 km/l, 201 km/h top speed",3.5,2
Nicholson-Adams,WhetherClearly97,2008,"Experience the fusion of style and performance with the Nicholson-Adams from WhetherClearly97. This powerful roadster boasts intuitive user interface along with next-generation navigation system. Its innovative design and reliable engineering, launched in 2008, set a new benchmark in its class.","I6, 226 HP, 1386cc","Sedan, 6 km/l, 213 km/h top speed",1.5,3
Nicholson-Adams,DetermineStandard75,1998,"DetermineStandard75 presents the Nicholson-Adams, a sleek masterpiece that redefines modern mobility. With features such as advanced safety features and integrated smart connectivity, this sedan combines efficiency with bold performance. Since its inception in 1998, it has captivated enthusiasts and experts alike.","V8, 248 HP, 1819cc","Sedan, 5 km/l, 115 km/h top speed",2.2,5
MessageSell82,Nicholson-Adams,2008,"The MessageSell82 by Nicholson-Adams is a cutting-edge and dynamic coupe. It features state-of-the-art infotainment system and exceptional handling that deliver an exhilarating driving experience. Released in 2008, it embodies the future of automotive design.","V8, 302 HP, 2658cc","Hatchback, 11 km/l, 108 km/h top speed",3.5,5
Nicholson-Adams,ChargeNothing60,1997,"The Nicholson-Adams by ChargeNothing60 is a agile and cutting-edge limousine. It features integrated smart connectivity and intuitive user interface that deliver an exhilarating driving experience. Released in 1997, it embodies the future of automotive design.","I6, 144 HP, 2685cc","Convertible, 13 km/l, 214 km/h top speed",3.7,5
Nicholson-Adams,UnitMovie47,2014,"Experience the fusion of style and performance with the Nicholson-Adams from UnitMovie47. This state-of-the-art roadster boasts next-generation navigation system along with integrated smart connectivity. Its innovative design and reliable engineering, launched in 2014, set a new benchmark in its class.","V8, 245 HP, 3145cc","Hatchback, 7 km/l, 246 km/h top speed",3.3,4
ThatFew38,Torres PLC,2008,"The ThatFew38 by Torres PLC is a innovative and dynamic hatchback. It features integrated smart connectivity and integrated smart connectivity that deliver an exhilarating driving experience. Released in 2008, it embodies the future of automotive design.","Electric, 166 HP, 1400cc","SUV, 11 km/l, 180 km/h top speed",2.4,5
Torres PLC,TalkPlace12,2024,"TalkPlace12 presents the Torres PLC, a state-of-the-art masterpiece that redefines modern mobility. With features such as remarkable fuel efficiency and state-of-the-art infotainment system, this sports car combines efficiency with bold performance. Since its inception in 2024, it has captivated enthusiasts and experts alike.","I4, 127 HP, 4008cc","SUV, 12 km/l, 160 km/h top speed",4,2
FindReach76,Torres PLC,2021,"Experience the fusion of style and performance with the FindReach76 from Torres PLC. This agile coupe boasts eco-friendly technology along with high-performance engine. Its innovative design and reliable engineering, launched in 2021, set a new benchmark in its class.","I4, 277 HP, 2048cc","Hatchback, 5 km/l, 222 km/h top speed",4.3,5
AnimalMaybe53,Torres PLC,2008,"Experience the fusion of style and performance with the AnimalMaybe53 from Torres PLC. This elegant minivan boasts unmatched reliability along with integrated smart connectivity. Its innovative design and reliable engineering, launched in 2008, set a new benchmark in its class.","V8, 288 HP, 2893cc","Sedan, 8 km/l, 173 km/h top speed",4.6,2
Torres PLC,CityTeam65,1999,"Experience the fusion of style and performance with the Torres PLC from CityTeam65. This vibrant minivan boasts advanced safety features along with integrated smart connectivity. Its innovative design and reliable engineering, launched in 1999, set a new benchmark in its class.","Electric, 594 HP, 2382cc","Hatchback, 12 km/l, 144 km/h top speed",2.9,4
Torres PLC,RaceEducation46,2001,"RaceEducation46 presents the Torres PLC, a robust masterpiece that redefines modern mobility. With features such as advanced safety features and unmatched reliability, this sports car combines efficiency with bold performance. Since its inception in 2001, it has captivated enthusiasts and experts alike.","V6, 451 HP, 2837cc","Coupe, 15 km/l, 104 km/h top speed",3.9,1
ByMusic60,Torres PLC,2003,"Torres PLC presents the ByMusic60, a vibrant masterpiece that redefines modern mobility. With features such as remarkable fuel efficiency and state-of-the-art infotainment system, this roadster combines efficiency with bold performance. Since its inception in 2003, it has captivated enthusiasts and experts alike.","V8, 480 HP, 4014cc","Hatchback, 12 km/l, 189 km/h top speed",1.2,3
Torres PLC,QuitePlace66,2002,"The Torres PLC by QuitePlace66 is a dynamic and sleek limousine. It features next-generation navigation system and high-performance engine that deliver an exhilarating driving experience. Released in 2002, it embodies the future of automotive design.","I4, 110 HP, 4979cc","Sedan, 8 km/l, 203 km/h top speed",3.2,2
Torres PLC,TimeSit18,2018,"The Torres PLC by TimeSit18 is a powerful and dynamic convertible. It features high-performance engine and exceptional handling that deliver an exhilarating driving experience. Released in 2018, it embodies the future of automotive design.","Electric, 585 HP, 4724cc","Hatchback, 14 km/l, 121 km/h top speed",3.7,1
Torres PLC,WhereSystem73,2023,"The Torres PLC by WhereSystem73 is a cutting-edge and robust sports car. It features unmatched reliability and exceptional handling that deliver an exhilarating driving experience. Released in 2023, it embodies the future of automotive design.","V6, 339 HP, 2747cc","SUV, 13 km/l, 250 km/h top speed",3.4,3
Torres PLC,StockHome31,2014,"Experience the fusion of style and performance with the Torres PLC from StockHome31. This sleek minivan boasts eco-friendly technology along with unmatched reliability. Its innovative design and reliable engineering, launched in 2014, set a new benchmark in its class.","V8, 402 HP, 3433cc","Sedan, 13 km/l, 184 km/h top speed",3.8,1
BodyVery58,Torres PLC,1999,"Torres PLC presents the BodyVery58, a futuristic masterpiece that redefines modern mobility. With features such as exceptional handling and intuitive user interface, this hatchback combines efficiency with bold performance. Since its inception in 1999, it has captivated enthusiasts and experts alike.","Electric, 554 HP, 1367cc","SUV, 13 km/l, 140 km/h top speed",1.8,2
HelpForm75,Torres PLC,2018,"Torres PLC presents the HelpForm75, a state-of-the-art masterpiece that redefines modern mobility. With features such as remarkable fuel efficiency and advanced safety features, this minivan combines efficiency with bold performance. Since its inception in 2018, it has captivated enthusiasts and experts alike.","I6, 485 HP, 1784cc","Coupe, 15 km/l, 201 km/h top speed",2.5,2
Torres PLC,LetterOption95,2021,"The Torres PLC by LetterOption95 is a luxurious and robust convertible. It features high-performance engine and integrated smart connectivity that deliver an exhilarating driving experience. Released in 2021, it embodies the future of automotive design.","I4, 590 HP, 3468cc","Coupe, 11 km/l, 237 km/h top speed",3.7,2
LocalKnow67,Torres PLC,2012,"Experience the fusion of style and performance with the LocalKnow67 from Torres PLC. This vibrant convertible boasts unmatched reliability along with remarkable fuel efficiency. Its innovative design and reliable engineering, launched in 2012, set a new benchmark in its class.","I4, 535 HP, 2010cc","Hatchback, 14 km/l, 145 km/h top speed",2.1,4
Torres PLC,HairDebate19,2023,"Experience the fusion of style and performance with the Torres PLC from HairDebate19. This robust sedan boasts intuitive user interface along with integrated smart connectivity. Its innovative design and reliable engineering, launched in 2023, set a new benchmark in its class.","Electric, 551 HP, 1566cc","Hatchback, 7 km/l, 170 km/h top speed",4.5,3
IncludingItem98,Torres PLC,2015,"The IncludingItem98 by Torres PLC is a sleek and futuristic limousine. It features unmatched reliability and high-performance engine that deliver an exhilarating driving experience. Released in 2015, it embodies the future of automotive design.","I4, 529 HP, 3864cc","SUV, 5 km/l, 162 km/h top speed",4,3
Torres PLC,RestGeneration25,2000,"RestGeneration25 presents the Torres PLC, a dynamic masterpiece that redefines modern mobility. With features such as next-generation navigation system and eco-friendly technology, this limousine combines efficiency with bold performance. Since its inception in 2000, it has captivated enthusiasts and experts alike.","I4, 416 HP, 4619cc","Sedan, 8 km/l, 241 km/h top speed",1.4,3
Torres PLC,HisKind40,2018,"The Torres PLC by HisKind40 is a powerful and powerful coupe. It features high-performance engine and high-performance engine that deliver an exhilarating driving experience. Released in 2018, it embodies the future of automotive design.","Electric, 225 HP, 2939cc","SUV, 7 km/l, 141 km/h top speed",1.3,2
Torres PLC,WeResearch34,1999,"The Torres PLC by WeResearch34 is a robust and efficient roadster. It features next-generation navigation system and remarkable fuel efficiency that deliver an exhilarating driving experience. Released in 1999, it embodies the future of automotive design.","I4, 421 HP, 3980cc","Coupe, 11 km/l, 225 km/h top speed",2.9,3
Calderon Group,TripWindow59,1995,"The Calderon Group by TripWindow59 is a luxurious and futuristic roadster. It features integrated smart connectivity and state-of-the-art infotainment system that deliver an exhilarating driving experience. Released in 1995, it embodies the future of automotive design.","V8, 586 HP, 2182cc","Convertible, 7 km/l, 168 km/h top speed",2.1,5
Calderon Group,SimpleTax35,2012,"SimpleTax35 presents the Calderon Group, a innovative masterpiece that redefines modern mobility. With features such as advanced safety features and remarkable fuel efficiency, this limousine combines efficiency with bold performance. Since its inception in 2012, it has captivated enthusiasts and experts alike.","Electric, 415 HP, 2952cc","SUV, 12 km/l, 176 km/h top speed",2.4,4
Calderon Group,PoliceGeneral60,2001,"The Calderon Group by PoliceGeneral60 is a sleek and dynamic convertible. It features high-performance engine and high-performance engine that deliver an exhilarating driving experience. Released in 2001, it embodies the future of automotive design.","Electric, 462 HP, 4139cc","SUV, 6 km/l, 151 km/h top speed",4.5,3
PutBlue14,Calderon Group,2004,"Experience the fusion of style and performance with the PutBlue14 from Calderon Group. This vibrant sedan boasts high-performance engine along with intuitive user interface. Its innovative design and reliable engineering, launched in 2004, set a new benchmark in its class.","I4, 214 HP, 4388cc","Convertible, 12 km/l, 181 km/h top speed",1.3,4
TowardBoy25,Calderon Group,2023,"Calderon Group presents the TowardBoy25, a agile masterpiece that redefines modern mobility. With features such as integrated smart connectivity and eco-friendly technology, this SUV combines efficiency with bold performance. Since its inception in 2023, it has captivated enthusiasts and experts alike.","V8, 120 HP, 1046cc","SUV, 7 km/l, 177 km/h top speed",3.9,5
Calderon Group,SuddenlyWhole83,2007,"SuddenlyWhole83 presents the Calderon Group, a agile masterpiece that redefines modern mobility. With features such as unmatched reliability and advanced safety features, this hatchback combines efficiency with bold performance. Since its inception in 2007, it has captivated enthusiasts and experts alike.","I4, 157 HP, 1303cc","SUV, 9 km/l, 133 km/h top speed",2.4,5
Calderon Group,CoachHim16,2023,"Experience the fusion of style and performance with the Calderon Group from CoachHim16. This cutting-edge sedan boasts unmatched reliability along with state-of-the-art infotainment system. Its innovative design and reliable engineering, launched in 2023, set a new benchmark in its class.","I4, 435 HP, 4117cc","Hatchback, 13 km/l, 201 km/h top speed",3.4,3
PoliticsUnderstand41,Calderon Group,2022,"Experience the fusion of style and performance with the PoliticsUnderstand41 from Calderon Group. This state-of-the-art sports car boasts next-generation navigation system along with remarkable fuel efficiency. Its innovative design and reliable engineering, launched in 2022, set a new benchmark in its class.","Electric, 260 HP, 1319cc","Hatchback, 11 km/l, 132 km/h top speed",3.1,1
Calderon Group,StandardScore75,2008,"The Calderon Group by StandardScore75 is a elegant and cutting-edge sports car. It features eco-friendly technology and intuitive user interface that deliver an exhilarating driving experience. Released in 2008, it embodies the future of automotive design.","V8, 319 HP, 3537cc","Sedan, 8 km/l, 242 km/h top speed",2.3,4
Calderon Group,WillEnd21,2014,"WillEnd21 presents the Calderon Group, a vibrant masterpiece that redefines modern mobility. With features such as eco-friendly technology and integrated smart connectivity, this minivan combines efficiency with bold performance. Since its inception in 2014, it has captivated enthusiasts and experts alike.","I4, 243 HP, 3669cc","SUV, 15 km/l, 203 km/h top speed",1.1,3
